"puma","state","htg_slope_res_btu_m2_degC"
"puma_1303002","GA",5.13703441520957
"puma_1303003","GA",5.17278698669243
"puma_1303004","GA",5.26560517940325
"puma_1303005","GA",5.02479951189098
"puma_1303101","GA",4.97277968102736
"puma_1303102","GA",5.02434256961562
"puma_1303200","GA",4.74201296378013
"puma_1303300","GA",5.00135898542587
"puma_1303400","GA",5.17534246784853
"puma_1303500","GA",5.1074362929799
"puma_1303600","GA",5.38611548292302
"puma_1303700","GA",5.20210900424734
"puma_1303800","GA",5.22343475315075
"puma_1303900","GA",5.27969910693172
"puma_1304000","GA",5.73243244122009
"puma_1304001","GA",5.28346076981573
"puma_1304002","GA",5.07483385731714
"puma_1304003","GA",5.20545929545773
"puma_1304004","GA",5.16042630793474
"puma_1304005","GA",5.30345892523164
"puma_1304006","GA",5.32178226054942
"puma_1304100","GA",5.6497997800932
"puma_1304200","GA",5.48279891509071
"puma_1304300","GA",5.31227697344546
"puma_1304400","GA",5.22010190233097
"puma_1304500","GA",5.12765573264358
"puma_1304600","GA",5.37393577506457
"puma_1305001","GA",5.25792970760452
"puma_1305002","GA",5.31824474303975
"puma_1306001","GA",5.32226302164424
"puma_1306002","GA",5.26643735106339
"puma_1600100","ID",3.91087232856898
"puma_1600200","ID",4.06668373688953
"puma_1600300","ID",3.942226341618
"puma_1600400","ID",4.28778485804693
"puma_1600500","ID",4.4208420546976
"puma_1600600","ID",4.38171352192541
"puma_1600701","ID",4.42624438603626
"puma_1600702","ID",4.3844631549618
"puma_1600800","ID",4.44172234996803
"puma_1600900","ID",4.15725837192805
"puma_1601000","ID",3.96733606471093
"puma_1601100","ID",3.58714928177493
"puma_1601200","ID",3.72562280257271
"puma_1601300","ID",3.89221309484446
"puma_1700104","IL",4.25422412573443
"puma_1700105","IL",4.48908616234657
"puma_1700202","IL",4.52402590167458
"puma_1700300","IL",4.73457104979458
"puma_1700401","IL",4.80944550649323
"puma_1700501","IL",4.93712682962567
"puma_1700600","IL",4.80481110412253
"puma_1700700","IL",4.95012022602996
"puma_1700800","IL",5.22006249907708
"puma_1700900","IL",5.10891961004566
"puma_1701001","IL",5.02514298623234
"puma_1701104","IL",5.1844822630628
"puma_1701105","IL",5.12989857255178
"puma_1701204","IL",5.06182151097386
"puma_1701205","IL",5.16447492520009
"puma_1701300","IL",4.76480637101365
"puma_1701500","IL",4.81596568277401
"puma_1701602","IL",4.674628078049
"puma_1701701","IL",4.61289623211165
"puma_1701900","IL",4.59008820450235
"puma_1702000","IL",4.49241260495191
"puma_1702100","IL",4.59576376551408
"puma_1702200","IL",4.60772054476428
"puma_1702300","IL",4.49895221207557
"puma_1702400","IL",4.38941899368583
"puma_1702501","IL",4.46877434954858
"puma_1702601","IL",4.22742866969629
"puma_1702700","IL",4.22573194564988
"puma_1702801","IL",4.31633116770605
"puma_1702901","IL",4.2042452695387
"puma_1703005","IL",4.42843993992808
"puma_1703007","IL",4.40363015927576
"puma_1703008","IL",4.27570456575366
"puma_1703009","IL",4.2680379951167
"puma_1703102","IL",4.48109488633823
"puma_1703105","IL",4.46328755884948
